date,prcp
2008-03-31,57.597109250398724
2008-04-30,37.204291030606825
2008-05-31,59.201370632291685
2008-06-30,8.251486671223512
2008-07-31,9.810854472038683
2008-08-31,11.370222272853853
2008-09-30,46.29387578795473
2008-10-31,115.81673565226197
2008-11-30,55.86572333611808
2008-12-31,55.78261679840627
2009-01-31,62.81818181818182
2009-02-28,66.90681818181818
2009-03-31,89.42499999999998
2009-04-30,8.575000000000001
2009-05-31,14.0
2009-06-30,45.0
2009-07-31,20.0
2009-08-31,13.925
2009-09-30,32.449999999999996
2009-10-31,24.175
2009-11-30,20.0
2009-12-31,127.625
2010-01-31,91.44999999999999
2010-02-28,90.19999999999999
2010-03-31,14.0
2010-04-30,26.6
2010-05-31,18.3
2010-06-30,2.8
2010-07-31,14.366666666666667
2010-08-31,16.03333333333333
2010-09-30,58.1
2010-10-31,41.300000000000004
2010-11-30,144.4
2010-12-31,54.25
2011-01-31,72.25
2011-02-28,33.7
2011-03-31,53.2
2011-04-30,57.9
2011-05-31,43.05
2011-06-30,3.0
2011-07-31,0.0
2011-08-31,1.8
2011-09-30,1.5
2011-10-31,7.1
2011-11-30,68.75
2011-12-31,7.1
2012-01-31,48.4
2012-02-29,8.6
2012-03-31,8.0
2012-04-30,9.225
2012-05-31,3.0
2012-06-30,2.0
2012-07-31,0.0
2012-08-31,4.1
2012-09-30,20.9
2012-10-31,45.15
2012-11-30,49.0
2012-12-31,15.525
2013-01-31,38.1
2013-02-28,14.25
2013-03-31,56.1
2013-04-30,14.0
2013-05-31,16.700000000000003
2013-06-30,30.0
2013-07-31,1.0
2013-08-31,0.5
2013-09-30,4.5
2013-10-31,11.9
2013-11-30,40.3
2013-12-31,17.3
2014-01-31,81.30000000000001
2014-02-28,26.500000000000004
2014-03-31,31.900000000000002
2014-04-30,18.6
2014-05-31,13.0
2014-06-30,0.3
2014-07-31,0.5
2014-08-31,0.0
2014-09-30,10.200000000000001
2014-10-31,9.35
2014-11-30,57.3
2014-12-31,47.599999999999994
2015-01-31,38.699999999999996
2015-02-28,6.1
2015-03-31,41.3
2015-04-30,0.8
2015-05-31,24.1
2015-06-30,0.5
2015-07-31,0.5
2015-08-31,0.0
2015-09-30,0.3
2015-10-31,44.699999999999996
2015-11-30,10.799999999999999
2015-12-31,0.8
2016-01-31,2.0
2016-02-29,53.6
2016-03-31,33.9
2016-04-30,16.900000000000002
2016-05-31,30.3
2016-06-30,15.0
2016-07-31,0.0
2016-08-31,5.6499999999999995
2016-09-30,0.39999999999999997
2016-10-31,10.850000000000001
2016-11-30,63.300000000000004
2016-12-31,40.00000000000001
2017-01-31,22.6
2017-02-28,49.15
2017-03-31,16.299999999999997
2017-04-30,0.0
2017-05-31,0.8
2017-06-30,0.5
2017-07-31,0.0
2017-08-31,0.049999999999999996
2017-09-30,0.09999999999999999
2017-10-31,0.44999999999999996
2017-11-30,19.15
2017-12-31,29.35
2018-01-31,16.650000000000002
2018-02-28,6.8999999999999995
2018-03-31,22.000000000000004
2018-04-30,52.0
2018-05-31,14.549999999999999
2018-06-30,29.7
2018-07-31,40.4
2018-08-31,27.0
2018-09-30,40.49999999999999
2018-10-31,52.8
2018-11-30,82.16666666666667
2018-12-31,13.833333333333334
2019-01-31,8.14
2019-02-28,3.96
2019-03-31,22.58
2019-04-30,14.242857142857142
2019-05-31,0.8857142857142857
2019-06-30,11.97857142857143
2019-07-31,0.4714285714285714
2019-08-31,1.6142857142857143
2019-09-30,2.757142857142857
2019-10-31,2.2
2019-11-30,51.97
2019-12-31,109.2
2020-01-31,56.512299465240645
2020-02-29,35.208435828877
2020-03-31,132.20028647822767
2020-04-30,80.85688502673797
2020-05-31,195.8297860962567
2020-06-30,22.87842245989305
2020-07-31,23.681390374331553
2020-08-31,25.95359052711994
2020-09-30,46.37579067990833
2020-10-31,72.36071810542398
2020-11-30,54.087312197606316
2020-12-31,61.30508276037686
2021-01-31,0.0
